Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2002-02-28,1100.67,15.733333333333,24.696666666667,177.8,4.91,1585.8887313695,22.669206974128,35.583931032058,29.085704152008
2002-01-31,1140.21,15.736666666667,24.693333333333,177.1,5.04,1649.3530381846,22.763630364201,35.719757199322,30.277204433096
2001-12-31,1144.93,15.74,24.69,176.7,5.09,1659.9298164261,22.819993633277,35.795784168081,30.49995325502
2001-11-30,1129.68,15.74,25.896666666667,177.4,4.65,1631.3575789177,22.72994856257,37.397071237317,30.005103811057
2001-10-31,1076.59,15.74,27.103333333333,177.7,4.57,1552.0662461311,22.691574985931,39.073527363534,28.57737311336
2001-09-30,1044.64,15.74,28.31,178.3,4.73,1500.937638811,22.615215227145,40.675777832305,27.667392586862
2001-08-31,1178.5,15.723333333333,31.136666666667,177.5,4.97,1700.8991725352,22.693088380282,44.938761619718,31.40431876078
2001-07-31,1204.45,15.706666666667,33.963333333333,177.5,5.24,1738.3521496479,22.669033802817,49.018417957746,32.163038687444
2001-06-30,1238.71,15.69,36.79,178.0,5.28,1782.776832514,22.581369733146,52.948922401685,33.068534411113
2001-05-31,1270.37,15.783333333333,39.673333333333,177.7,5.39,1831.4292322032,22.754046496905,57.195071046708,34.07464321714
2001-04-30,1189.84,15.876666666667,42.556666666667,176.9,5.14,1723.0904381006,22.992110302431,61.629282433578,32.173901168361
2001-03-31,1185.85,15.97,45.44,176.2,4.89,1724.1347066544,23.21915188706,66.066265607264,32.325837236179
2001-02-28,1305.75,16.07,46.96,175.8,5.1,1902.7796768345,23.41770584471,68.431578498293,35.834662651431
2001-01-31,1335.63,16.17,48.48,175.1,5.16,1954.1025867361,23.65762885494,70.92899486008,36.97886799703
2000-12-31,1330.93,16.27,50.0,174.0,5.24,1959.5362704741,23.954419181034,73.615301724138,37.274238004497
2000-11-30,1378.04,16.296666666667,51.233333333333,174.1,5.72,2027.7312449742,23.979899124067,75.387819500287,38.782142456785
2000-10-31,1390.14,16.323333333333,52.466666666667,174.0,5.74,2046.7115107759,24.03294216954,77.246989942529,39.369699044201
2000-09-30,1468.05,16.35,53.7,173.7,5.8,2165.1518944301,24.113779145078,79.199384715026,41.898007924885
2000-08-31,1485.46,16.466666666667,53.106666666667,172.8,5.83,2202.2395811632,24.412333622685,78.73224681713,42.869565494419
2000-07-31,1473.0,16.583333333333,52.513333333333,172.8,6.05,2183.7672526042,24.585295500579,77.852612123843,42.75809361827
2000-06-30,1461.96,16.7,51.92,172.4,6.1,2172.428887761,24.81570113109,77.151569025522,42.781971567071
2000-05-31,1418.48,16.72,51.596666666667,171.5,6.44,2118.8803469388,24.975804664723,77.073461005831,41.966050503324
